국가,확진자,치료중,위중증,사망자,완치,치명(%),완치(%),발생률,인구수
파푸아뉴기니🇵🇬,19278,799,7,225,18254,1.2,94.7,2182,8947024
타지키스탄🇹🇯,17084,0,N/A,124,16960,0.7,99.3,1791,9537645
부룬디🇧🇮,16356,15545,N/A,38,773,0.2,4.7,1376,11890784
퀴라소🇨🇼,16339,466,4,160,15713,1.0,96.2,99779,164093
대만🇹🇼,16189,1606,N/A,841,13742,5.2,84.9,680,23816775
아루바🇦🇼,15405,270,7,165,14970,1.1,97.2,144391,106766
안도라🇦🇩,15167,71,4,130,14966,0.9,98.7,196298,77265
모리셔스🇲🇺,15161,13236,N/A,71,1854,0.5,12.2,11921,1271768
말리🇲🇱,15153,346,N/A,547,14260,3.6,94.1,749,20250833
레소토🇱🇸,14395,7162,N/A,403,6830,2.8,47.4,6720,2142249
부르키나파소🇧🇫,14172,180,N/A,180,13812,1.3,97.5,678,20903273
콩고공화국🇨🇬,14113,1501,N/A,191,12421,1.4,88.0,2558,5518087
니카라과🇳🇮,13730,9302,N/A,203,4225,1.5,30.8,2073,6624554
지부티🇩🇯,12253,253,N/A,162,11838,1.3,96.6,12402,988000
홍콩🇭🇰,12193,89,N/A,213,11891,1.7,97.5,1627,7496981
남수단🇸🇸,11926,423,4,128,11375,1.1,95.4,1067,11193725
적도 기니🇬🇶,11806,1439,1,142,10225,1.2,86.6,8415,1402985
아이슬란드🇮🇸,11632,348,3,33,11251,0.3,96.7,34087,341243
중앙아프리카 공화국🇨🇫,11371,4412,2,100,6859,0.9,60.3,2354,4829767
세인트루시아🇱🇨,11144,2157,15,185,8802,1.7,79.0,60688,183627
감비아🇬🇲,9911,28,3,335,9548,3.4,96.3,4109,2416668
예멘🇾🇪,8891,1709,23,1682,5500,18.9,61.9,300,29825964
바베이도스🇧🇧,7401,974,N/A,64,6363,0.9,86.0,26363,287375
맨섬🇮🇲,7364,523,1,51,6790,0.7,92.2,87343,85033
에리트레아🇪🇷,6694,24,N/A,42,6628,0.6,99.0,1888,3546421
브루나이🇧🇳,6540,2177,34,37,4326,0.6,66.1,15315,437479
시에라리온🇸🇱,6393,1892,N/A,121,4380,1.9,68.5,801,7976983
뉴칼레도니아🇳🇨,6185,6044,56,83,58,1.3,0.9,21664,285498
기니비사우🇬🇼,6099,681,4,135,5283,2.2,86.6,3099,1968001
니제르🇳🇪,5974,50,N/A,201,5723,3.4,95.8,247,24206644
라이베리아🇱🇷,5782,41,2,283,5458,4.9,94.4,1143,5057681
지브롤터🇬🇮,5514,65,2,97,5352,1.8,97.1,163753,33691
산마리노🇸🇲,5419,60,2,90,5269,1.7,97.2,159706,33931
차드🇹🇩,5031,7,N/A,174,4850,3.5,96.4,306,16425864
버뮤다🇧🇲,4982,1612,1,52,3318,1.0,66.6,79996,62278
그레나다🇬🇩,4829,2034,N/A,116,2679,2.4,55.5,43742,112523
신트마르턴🇸🇽,4213,166,10,63,3984,1.5,94.6,98260,42876
뉴질랜드🇳🇿,4183,225,5,27,3931,0.6,94.0,870,4822233
코모로🇰🇲,4112,12,N/A,147,3953,3.6,96.1,4729,869601
세인트마틴 섬🇲🇫,3727,2273,7,55,1399,1.5,37.5,96390,38666
리히텐슈타인🇱🇮,3439,43,1,60,3336,1.7,97.0,90196,38128
상투메 프린시페🇸🇹,3338,614,N/A,49,2675,1.5,80.1,15258,219159
모나코🇲🇨,3303,29,6,33,3241,1.0,98.1,84170,39242
세인트빈센트 그레나딘🇻🇨,3247,860,2,17,2370,0.5,73.0,30088,110940
도미니카 연방🇩🇲,3197,545,N/A,13,2639,0.4,82.5,45745,71986
