국가,국가코드,확진자,치료중,위중증,사망자,완치,치명(%),완치(%),발생률,인구수,Countries and regions,Doses administered,Enough for % of people,given 1+ dose,fully vaccinated,Daily rate of doses administered
세이셸,🇸🇨,21257,485,,115,20657,0.5,97.2,216143,98347,Seychelles,148402,77.3,80.5,74.1,154
바하마,🇧🇸,20603,1816,15,522,18265,2.5,88.7,52392,393244,Bahamas,184461,24.2,30,18.4,812
소말리아,🇸🇴,19723,9206,,1103,9414,5.6,47.7,1241,15893222,Somalia,430762,1.4,1.7,1.2,12445
벨리즈,🇧🇿,19600,1951,10,402,17247,2.1,88,49292,397628,Belize,298343,36.6,45.9,27.2,2839
동티모르,🇹🇱,19382,994,,113,18275,0.6,94.3,14713,1318445,Timor-Leste,675891,26.1,32.8,19.4,4368
파푸아뉴기니,🇵🇬,19278,799,7,225,18254,1.2,94.7,2182,8947024,Papua New Guinea,164776,1,1.4,0.5,2517
타지키스탄,🇹🇯,17084,0,,124,16960,0.7,99.3,1791,9537645,Tajikistan,3872421,20.8,24.8,16.8,70941
대만,🇹🇼,16189,1606,,841,13742,5.2,84.9,680,23816775,Taiwan,14142461,30,51.2,8.8,138660
아루바,🇦🇼,15405,270,7,165,14970,1.1,97.2,144391,106766,Aruba,155501,69.4,72.4,66.5,141
안도라,🇦🇩,15167,71,4,130,14966,0.9,98.7,196298,77265,Andorra,93430,60.7,67,54.3,98
모리셔스,🇲🇺,15161,13236,,71,1854,0.5,12.2,11921,1271768,Mauritius,1633952,64.5,66.8,62.2,1155
말리,🇲🇱,15153,346,,547,14260,3.6,94.1,749,20250833,Mali,397853,1,1.6,0.5,1476
레소토,🇱🇸,14395,7162,,403,6830,2.8,47.4,6720,2142249,Lesotho,332954,8.1,12.2,11.7,6246
부르키나파소,🇧🇫,14172,180,,180,13812,1.3,97.5,678,20903273,Burkina Faso,254545,0.6,1.2,0.8,8839
콩고공화국,🇨🇬,14113,1501,,191,12421,1.4,88,2558,5518087,Republic of the Congo,329905,3.6,4.7,2.5,1525
니카라과,🇳🇮,13730,9302,,203,4225,1.5,30.8,2073,6624554,Nicaragua,769105,5.9,7.5,4.3,6771
지부티,🇩🇯,12253,253,,162,11838,1.3,96.6,12402,988000,Djibouti,67229,3.1,3.8,2.4,174
홍콩,🇭🇰,12193,89,,213,11891,1.7,97.5,1627,7496981,Hong Kong,8550389,56.8,59.2,54.5,27695
